Start Time:  09-May-17 11:55:53           Time Completed:  09-May-17 12:11:12       Elapsed Time:  00:15:42
Sample ID:     170509, Co-Al A0, 18,5 mg, RT run

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.exp
Data File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.txt
Plot File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.stp
VSM Data File: C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 13041.1 	 0.679082 	-270.01 	
 13025.2 	 0.679072 	-270 	
 13012.7 	 0.678909 	-270.01 	
 12997 	 0.678884 	-270.01 	
 12983.3 	 0.678829 	-270.01 	
 12966.9 	 0.678835 	-270.01 	
 12952.4 	 0.678771 	-270.01 	
 12935.5 	 0.678639 	-270.01 	
 12921.7 	 0.678644 	-270.01 	
 12907.5 	 0.678588 	-270.01 	
 12890.4 	 0.678378 	-270.01 	
 12877.4 	 0.678301 	-270.01 	
 12861 	 0.678352 	-270.01 	
 12845.3 	 0.678099 	-270.01 	
 12834.2 	 0.678127 	-270.01 	
 12813.9 	 0.677948 	-270.01 	
 12803.3 	 0.677898 	-270.01 	
 12786 	 0.677922 	-270.01 	
 12771.4 	 0.677977 	-270.01 	
 12756.1 	 0.677744 	-270 	
 12740.6 	 0.677519 	-270 	
 12725.8 	 0.67762 	-270.01 	
 12714.2 	 0.677537 	-270.01 	
 12701 	 0.677392 	-270.01 	
 12677 	 0.677397 	-270.01 	
 12666.3 	 0.677272 	-270.01 	
 12654.8 	 0.677303 	-270.01 	
 12639.6 	 0.677126 	-270.01 	
 12626 	 0.677015 	-270.01 	
 12605.9 	 0.676935 	-270.01 	
 12591.3 	 0.676891 	-270.01 	
 12577.7 	 0.676938 	-270.01 	
 12571 	 0.676859 	-270.01 	
 12557.1 	 0.676747 	-270.01 	
 12536.1 	 0.676466 	-270.01 	
 12514.6 	 0.676278 	-270 	
 12502.4 	 0.676352 	-270.01 	
 12490.4 	 0.676391 	-270.01 	
 12474.5 	 0.676278 	-270 	
 12453.5 	 0.676393 	-270.01 	
 12439.3 	 0.676201 	-270.01 	
 12428.3 	 0.675947 	-270.01 	
 12408.8 	 0.675824 	-270 	
 12398.6 	 0.675901 	-270.01 	
 12383 	 0.675879 	-270.01 	
 12362.2 	 0.675742 	-270.01 	
 12354.2 	 0.675703 	-270.01 	
 12333.9 	 0.675329 	-270.01 	
 12324.5 	 0.675476 	-270.01 	
 12305 	 0.675465 	-270 	
 12291.5 	 0.675265 	-270 	
 12275.9 	 0.675043 	-270.01 	
 12260.9 	 0.675093 	-270 	
 12244.3 	 0.67489 	-270.01 	
 12232.8 	 0.674896 	-270 	
 12214.8 	 0.674852 	-270.01 	
 12199.5 	 0.674588 	-270 	
 12189.7 	 0.67467 	-270 	
 12166.2 	 0.674716 	-270.01 	
 12159.4 	 0.674432 	-270.01 	
 12138.6 	 0.674288 	-270.01 	
 12127.3 	 0.674403 	-270.01 	
 12110.1 	 0.674374 	-270.01 	
 12099.3 	 0.674274 	-270.01 	
 12075.8 	 0.674106 	-270.01 	
 12070.2 	 0.674036 	-270 	
 12046.4 	 0.674101 	-270.01 	
 12038.8 	 0.673751 	-270.01 	
 12022.7 	 0.67377 	-270.01 	
 12006.3 	 0.673764 	-270.01 	
 11990.1 	 0.673569 	-270.01 	
 11971.4 	 0.673445 	-270.01 	
 11964.4 	 0.673418 	-270.01 	
 11942.7 	 0.673443 	-270 	
 11936.3 	 0.673207 	-270 	
 11911 	 0.673269 	-270.01 	
 11897.1 	 0.673013 	-270.01 	
 11887 	 0.673019 	-270.01 	
 11872.4 	 0.672937 	-270.01 	
 11854.8 	 0.672756 	-270.01 	
 11844.9 	 0.672642 	-270.01 	
 11826 	 0.672738 	-270.01 	
 11810.2 	 0.672457 	-270.01 	
 11791.9 	 0.672269 	-270.01 	
 11780.4 	 0.672371 	-270.01 	
 11764.1 	 0.672427 	-270.01 	
 11754.4 	 0.672169 	-270 	
 11737.3 	 0.672144 	-270.01 	
 11727.6 	 0.6721 	-270.01 	
 11707.5 	 0.671925 	-270 	
 11692.3 	 0.671761 	-270 	
 11679.1 	 0.671634 	-270 	
 11660.3 	 0.671689 	-270.01 	
 11640.3 	 0.671548 	-270.01 	
 11635.8 	 0.671499 	-270.01 	
 11611.4 	 0.671363 	-270.01 	
 11598.6 	 0.671198 	-270.01 	
 11585.7 	 0.671147 	-270.01 	
 11574.6 	 0.671236 	-270.01 	
 11555.6 	 0.671188 	-270.01 	
 11538.1 	 0.670949 	-270.01 	
 11523.6 	 0.670842 	-270.01 	
 11511.3 	 0.670743 	-270.01 	
 11500.3 	 0.670564 	-270.01 	
 11475.2 	 0.670692 	-270.01 	
 11472.4 	 0.670527 	-270.01 	
 11444.9 	 0.670554 	-270.01 	
 11434.3 	 0.670254 	-270.01 	
 11426.4 	 0.670175 	-270.01 	
 11398.8 	 0.670279 	-270.01 	
 11395.5 	 0.669897 	-270.01 	
 11378.2 	 0.669962 	-270.01 	
 11355.8 	 0.669948 	-270.01 	
 11342.5 	 0.669761 	-270.01 	
 11333.6 	 0.66955 	-270 	
 11318.5 	 0.669643 	-270.01 	
 11300.4 	 0.669609 	-270.01 	
 11280.4 	 0.669337 	-270.01 	
 11271.2 	 0.669216 	-270.01 	
 11255.5 	 0.669045 	-270.01 	
 11240.4 	 0.669039 	-270.01 	
 11225.1 	 0.669066 	-270 	
 11212.1 	 0.668734 	-270.01 	
 11195.1 	 0.668691 	-270.01 	
 11178.9 	 0.668638 	-270 	
 11162.6 	 0.66862 	-270.01 	
 11153.7 	 0.668421 	-270.01 	
 11133 	 0.668367 	-270 	
 11122.6 	 0.668252 	-270 	
 11104.7 	 0.668284 	-270.01 	
 11087.8 	 0.66802 	-270.01 	
 11079.1 	 0.667993 	-270.01 	
 11059.6 	 0.667969 	-270.01 	
 11044.3 	 0.667975 	-270.01 	
 11029 	 0.667686 	-270 	
 11016.3 	 0.667654 	-270 	
 11002.7 	 0.66765 	-270.01 	
 10985.3 	 0.667552 	-270.01 	
 10970.2 	 0.66716 	-270.01 	
 10953.9 	 0.667194 	-270.01 	
 10940 	 0.667193 	-270.01 	
 10925.3 	 0.667179 	-270.01 	
 10920 	 0.667075 	-270.01 	
 10903.2 	 0.666767 	-270.01 	
 10879.9 	 0.666493 	-270.01 	
 10867.1 	 0.666565 	-270 	
 10849.7 	 0.666605 	-270.01 	
 10835.4 	 0.666317 	-270.01 	
 10821.4 	 0.666203 	-270.01 	
 10804.9 	 0.666162 	-270.01 	
 10791.7 	 0.666246 	-270.01 	
 10773.9 	 0.665913 	-270.01 	
 10759.3 	 0.665812 	-270.01 	
 10745.7 	 0.665787 	-270.01 	
 10729.8 	 0.665669 	-270.01 	
 10718 	 0.665557 	-270.01 	
 10700.3 	 0.665489 	-270.01 	
 10683.9 	 0.665405 	-270.01 	
 10673.2 	 0.665324 	-270.01 	
 10655.7 	 0.665253 	-270.01 	
 10640.2 	 0.665023 	-270.01 	
 10626.7 	 0.665078 	-270.01 	
 10611.4 	 0.664805 	-270.01 	
 10589.9 	 0.664917 	-270 	
 10582.4 	 0.664665 	-270 	
 10566.5 	 0.664718 	-270.01 	
 10548.6 	 0.664529 	-270.01 	
 10536.7 	 0.664371 	-270.01 	
 10516.1 	 0.664228 	-270.01 	
 10505.9 	 0.664054 	-270.01 	
 10492.6 	 0.664008 	-270.01 	
 10471.7 	 0.664076 	-270.01 	
 10462.9 	 0.663863 	-270 	
 10446.3 	 0.663732 	-270.01 	
 10431.4 	 0.663649 	-270.01 	
 10415.5 	 0.663416 	-270 	
 10400.5 	 0.66353 	-270 	
 10384.2 	 0.663342 	-270 	
 10371.1 	 0.663114 	-270.01 	
 10351.5 	 0.663072 	-270.01 	
 10342.9 	 0.663079 	-270.01 	
 10325.6 	 0.662829 	-270.01 	
 10310.4 	 0.662671 	-270.01 	
 10294.8 	 0.662589 	-270 	
 10281.5 	 0.662524 	-270.01 	
 10266.5 	 0.662529 	-270.01 	
 10246.6 	 0.662259 	-270.01 	
 10235.4 	 0.662114 	-270.01 	
 10221.5 	 0.662289 	-270.01 	
 10203.7 	 0.662108 	-270.01 	
 10190.8 	 0.661814 	-270.01 	
 10172.6 	 0.66152 	-270.01 	
 10163.2 	 0.661658 	-270.01 	
 10147.7 	 0.661591 	-270 	
 10129.2 	 0.661456 	-270 	
 10113.2 	 0.661279 	-270.01 	
 10103.2 	 0.661161 	-270.01 	
 10086.7 	 0.66099 	-270.01 	
 10078.2 	 0.660943 	-270.01 	
 10059.2 	 0.660837 	-270.01 	
 10045.5 	 0.660684 	-270.01 	
 10025.6 	 0.660742 	-270.01 	
 10006.6 	 0.660533 	-270.01 	
 9997.18 	 0.660376 	-270.01 	
 9978.85 	 0.660474 	-270 	
 9964.08 	 0.660376 	-270.01 	
 9952.97 	 0.660101 	-270.01 	
 9935.53 	 0.659862 	-270.01 	
 9917.2 	 0.659803 	-270.01 	
 9907.83 	 0.659575 	-270.01 	
 9892.13 	 0.659633 	-270.01 	
 9877.47 	 0.659513 	-270.01 	
 9859.31 	 0.659311 	-270.01 	
 9845.08 	 0.659323 	-270.01 	
 9831.03 	 0.659203 	-270.01 	
 9813.19 	 0.659046 	-270.01 	
 9802.92 	 0.658905 	-270.01 	
 9783.36 	 0.658853 	-270.01 	
 9768 	 0.658753 	-270.01 	
 9756.43 	 0.658574 	-270.01 	
 9741.23 	 0.658436 	-270.01 	
 9721.38 	 0.658349 	-270.01 	
 9711.37 	 0.658259 	-270.01 	
 9696.09 	 0.658297 	-270.01 	
 9680.32 	 0.658062 	-270.01 	
 9668.86 	 0.657888 	-270.01 	
 9648.59 	 0.657817 	-270.01 	
 9634.43 	 0.657628 	-270.01 	
 9620.11 	 0.657539 	-270.01 	
 9608.84 	 0.657447 	-270.01 	
 9587.28 	 0.657322 	-270.01 	
 9576.6 	 0.657364 	-270.01 	
 9556.68 	 0.657203 	-270.01 	
 9542.08 	 0.656951 	-270.01 	
 9530.74 	 0.656739 	-270.01 	
 9514.31 	 0.656658 	-270.01 	
 9498.24 	 0.656727 	-270.01 	
 9487.98 	 0.656569 	-270.01 	
 9467.77 	 0.656288 	-270.01 	
 9456.93 	 0.656342 	-270.01 	
 9439.3 	 0.655996 	-270.01 	
 9422.99 	 0.655884 	-270.01 	
 9413.15 	 0.655852 	-270.01 	
 9396.9 	 0.65583 	-270.01 	
 9377.6 	 0.655615 	-270.01 	
 9360.89 	 0.655567 	-270 	
