Start Time:  08-Mar-17 23:49:20           Time Completed:  08-Mar-17 23:55:53       Elapsed Time:  00:06:48
Sample ID:     170308, MOGV Co-Ni 53,30mg, T-run 1-2

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.exp
Data File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.txt
Plot File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.stp
VSM Data File: C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 166.71 	 0.425508 	 550.022 	
 165.742 	 0.424071 	 550.019 	
 164.766 	 0.422595 	 550.019 	
 163.811 	 0.42075 	 550.017 	
 162.629 	 0.419408 	 550.015 	
 162.085 	 0.41782 	 550.016 	
 160.962 	 0.416151 	 550.016 	
 159.998 	 0.414569 	 550.016 	
 158.641 	 0.41304 	 550.015 	
 157.533 	 0.411503 	 550.016 	
 156.658 	 0.40988 	 550.017 	
 155.721 	 0.40839 	 550.022 	
 154.738 	 0.406884 	 550.021 	
 154.057 	 0.405723 	 550.018 	
 152.94 	 0.403858 	 550.016 	
 151.733 	 0.40201 	 550.015 	
 150.751 	 0.40043 	 550.013 	
 149.703 	 0.398732 	 550.016 	
 148.851 	 0.397143 	 550.014 	
 147.565 	 0.395526 	 550.01 	
 146.971 	 0.393986 	 550.008 	
 145.676 	 0.392042 	 550.008 	
 144.829 	 0.39047 	 550.007 	
 143.714 	 0.388851 	 550.013 	
 142.664 	 0.387307 	 550.011 	
 141.929 	 0.385798 	 550.009 	
 140.576 	 0.383995 	 550.007 	
 139.953 	 0.382601 	 550.006 	
 138.681 	 0.380907 	 550.009 	
 137.734 	 0.379238 	 550.01 	
 136.733 	 0.377643 	 550.008 	
 135.743 	 0.37605 	 550.01 	
 134.667 	 0.374475 	 550.01 	
 133.742 	 0.372788 	 550.011 	
 132.805 	 0.370974 	 550.009 	
 131.817 	 0.369441 	 550.01 	
 130.694 	 0.367727 	 550.006 	
 129.877 	 0.366077 	 550.009 	
 128.769 	 0.364451 	 550.007 	
 127.754 	 0.362744 	 550.006 	
 126.832 	 0.361026 	 550.006 	
 125.674 	 0.359276 	 550.005 	
 124.793 	 0.357649 	 550.008 	
 123.743 	 0.355998 	 550.008 	
 122.796 	 0.354225 	 550.006 	
 121.773 	 0.35249 	 550.006 	
 120.805 	 0.350763 	 550.008 	
 119.809 	 0.349128 	 550.013 	
 118.784 	 0.347424 	 550.013 	
 117.999 	 0.346127 	 550.012 	
 117.077 	 0.344347 	 550.013 	
 115.766 	 0.342222 	 550.012 	
 114.831 	 0.340528 	 550.011 	
 113.882 	 0.338818 	 550.013 	
 112.765 	 0.336862 	 550.014 	
 111.783 	 0.33523 	 550.013 	
 110.765 	 0.333519 	 550.013 	
 109.828 	 0.331823 	 550.014 	
 108.807 	 0.32997 	 550.017 	
 107.819 	 0.328333 	 550.016 	
 106.804 	 0.326423 	 550.014 	
 105.738 	 0.324697 	 550.012 	
 104.789 	 0.322839 	 550.017 	
 103.804 	 0.321223 	 550.022 	
 102.822 	 0.319497 	 550.022 	
 101.9 	 0.31762 	 550.023 	
 100.834 	 0.315829 	 550.022 	
 99.8012 	 0.313946 	 550.019 	
 98.867 	 0.312205 	 550.021 	
 97.8401 	 0.310304 	 550.022 	
 96.7981 	 0.308431 	 550.018 	
 95.7951 	 0.306646 	 550.016 	
 94.8849 	 0.304872 	 550.022 	
 93.8011 	 0.303102 	 550.026 	
 92.8849 	 0.301158 	 550.025 	
 91.825 	 0.299352 	 550.025 	
 90.792 	 0.297431 	 550.02 	
 89.8818 	 0.295712 	 550.018 	
 88.9237 	 0.293879 	 550.017 	
 87.807 	 0.291918 	 550.015 	
 86.8548 	 0.28995 	 550.02 	
 85.8728 	 0.28812 	 550.022 	
 84.8398 	 0.286176 	 550.023 	
 83.8308 	 0.284435 	 550.023 	
 82.8697 	 0.282618 	 550.022 	
 81.8847 	 0.280676 	 550.022 	
 80.9655 	 0.27913 	 550.024 	
 80.217 	 0.277457 	 550.023 	
 78.8337 	 0.274933 	 550.024 	
 77.8667 	 0.273055 	 550.026 	
 76.9115 	 0.271104 	 550.026 	
 75.8816 	 0.269178 	 550.015 	
 74.9355 	 0.267263 	 550.015 	
 73.7618 	 0.265307 	 550.015 	
 72.9534 	 0.263327 	 550.019 	
 71.8576 	 0.261476 	 550.018 	
 70.8665 	 0.259573 	 550.018 	
 69.8336 	 0.257536 	 550.023 	
 68.9084 	 0.255583 	 550.021 	
 67.9294 	 0.253749 	 550.018 	
 66.8695 	 0.251736 	 550.02 	
 65.8994 	 0.249728 	 550.018 	
 64.9053 	 0.248001 	 550.016 	
 63.8844 	 0.245987 	 550.017 	
 62.8963 	 0.243897 	 550.015 	
 61.8754 	 0.242022 	 550.015 	
 60.9622 	 0.239971 	 550.021 	
 59.9232 	 0.237942 	 550.024 	
 58.9022 	 0.235852 	 550.023 	
 57.9022 	 0.233899 	 550.021 	
 56.9262 	 0.231888 	 550.022 	
 55.8543 	 0.229782 	 550.023 	
 54.9411 	 0.227797 	 550.026 	
 53.9381 	 0.225725 	 550.026 	
 52.9351 	 0.223631 	 550.022 	
 51.9081 	 0.221681 	 550.021 	
 50.9141 	 0.219602 	 550.022 	
 49.8751 	 0.21762 	 550.019 	
 48.9949 	 0.215639 	 550.02 	
 47.8811 	 0.213354 	 550.023 	
 46.8721 	 0.211373 	 550.022 	
 46.0427 	 0.209374 	 550.022 	
 45.0697 	 0.207656 	 550.026 	
 44.2553 	 0.205654 	 550.029 	
 42.8301 	 0.203021 	 550.027 	
 41.9858 	 0.200948 	 550.023 	
 40.9738 	 0.198766 	 550.021 	
 39.8869 	 0.19657 	 550.024 	
 39.0037 	 0.194586 	 550.023 	
 37.9198 	 0.192441 	 550.027 	
 36.9767 	 0.190291 	 550.024 	
 35.9497 	 0.188191 	 550.025 	
 34.9707 	 0.186026 	 550.018 	
 33.9437 	 0.183791 	 550.025 	
 32.8928 	 0.18164 	 550.023 	
 31.9317 	 0.179588 	 550.024 	
 31.0365 	 0.177564 	 550.026 	
 29.9586 	 0.175267 	 550.028 	
 28.9287 	 0.173176 	 550.032 	
 28.0035 	 0.170902 	 550.031 	
 26.9735 	 0.168562 	 550.022 	
 25.9406 	 0.166403 	 550.021 	
 24.9585 	 0.164166 	 550.014 	
 23.8986 	 0.162042 	 550.025 	
 23.0423 	 0.159788 	 550.024 	
 21.9645 	 0.157528 	 550.027 	
 20.9704 	 0.155459 	 550.026 	
 19.9375 	 0.153246 	 550.025 	
 18.9704 	 0.151062 	 550.018 	
 17.9973 	 0.148762 	 550.019 	
 16.9614 	 0.146513 	 550.023 	
 15.9374 	 0.144217 	 550.025 	
 14.9673 	 0.141943 	 550.016 	
 14.0452 	 0.139791 	 550.019 	
